Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bahamas,28855.234,23725.016,24608.107,26402.072,31176.812,31468.486,30311.287,33097.246,31711.605,33132.844,29458.385,27419.734,27700.953,26600.822,25366.29,24513.105,29444.889,28613.36,30194.86,33521.77,35694.668,33718.145,39583.043,37698.773,35546.84,39094.715,35367.03,38033.254,35293.496,34834.35,33069.75,33998.285,35776.676,31076.469,33804.51,30962.688,30996.61,32001.691,32339.086,33088.543,33088.543,33088.543,33088.543,33088.543,33088.543
Bahrain,26381.996,23138.994,18585.969,18770.12,19838.254,10468.514,12100.579,12193.796,14515.557,14204.736,15927.094,15453.469,15647.954,17267.734,17321.08,17423.264,16330.566,19281.459,17578.443,20788.555,27777.154,26450.092,24152.715,28342.62,30043.441,38436.684,41118.086,43345.777,55378.93,44195.965,46553.12,47956.34,56269.977,55316.56,53111.383,48509.74,46738.793,49238.594,49276.605,46964.977,46964.977,46964.977,46964.977,46964.977,46964.977
Bangladesh,1333.4319,1325.1575,1288.6855,1280.0214,1369.7687,1393.2859,1390.7646,1360.6252,1383.9873,1502.3505,1531.382,1553.5822,1562.9657,1568.4761,1607.5397,1648.079,1660.2803,1623.2451,1577.4174,1499.0077,1520.2449,1535.8394,1588.2731,1606.8379,1621.7179,1666.4171,1793.9163,1978.3098,2193.2632,2353.637,2650.6636,3030.0151,3113.8965,3260.8838,3453.2925,3714.8008,3833.7283,4112.704,4428.1455,4658.01,4658.01,4658.01,4658.01,4658.01,4658.01
Barbados,12789.05,12660.261,12830.858,13217.297,13541.944,11801.507,13744.875,14967.196,15623.32,16818.102,15811.569,16659.28,12578.095,13225.763,21747.504,23666.096,25243.86,23422.648,24377.67,24084.865,23597.746,23029.361,22733.799,20911.803,21595.09,22032.338,20567.945,21718.01,19940.24,17594.64,16825.586,15311.92,14260.479,13108.818,13087.195,12689.137,12570.785,11801.709,12009.456,12217.291,12217.291,12217.291,12217.291,12217.291,12217.291
Belarus,10839.38795,11188.56176,11537.73556,11886.90937,12236.08317,12585.25698,12934.43078,13283.60459,13632.77839,13981.9522,14331.126,13916.575,12404.728,13180.414,8683.532,8409.264,8840.275,9363.7295,9184.577,9084.586,9388.4455,9692.305,9920.514,10457.991,11319.383,12043.056,13609.858,15058.907,17549.406,17012.016,18824.506,21223.59,20276.56,19838.09,20188.39,19728.426,18609.34,20307.428,21174.275,21665.938,21665.938,21665.938,21665.938,21665.938,21665.938
Belgium,23806.79,22679.863,21934.953,21274.96,21207.998,20143.088,21584.13,22772.012,24514.705,25045.986,26114.314,26425.402,27306.836,27369.021,27974.865,29060.271,28905.15,30190.76,30345.209,31710.693,33739.33,33801.445,34587.23,35921.406,36637.98,40701.17,39286.82,40197.406,43370.99,41608.61,44733.914,44285.63,44366.01,43980.91,43960.465,42891.355,43413.094,45150.195,44205.297,44839.68,44839.68,44839.68,44839.68,44839.68,44839.68
Belize,5292.127,4845.993,4896.779,4740.473,4706.758,4750.915,5345.7656,5793.093,6093.674,6570.756,7192.621,6851.145,6758.351,7071.161,7399.0845,7794.7563,6607.7505,6156.386,5889.978,5897.188,6530.451,6299.567,6895.2183,7420.105,7606.347,7805.492,8127.245,8185.3877,7690.259,7087.6943,7784.203,8055.136,8062.7334,7291.5586,7270.5225,6594.8223,6321.782,6199.1445,5793.2246,5602.4204,5602.4204,5602.4204,5602.4204,5602.4204,5602.4204
Benin,2214.1562,2724.9905,1909.6669,1824.89,1882.8116,2021.0591,1716.2102,1542.1,1542.7927,1352.494,1348.4304,1372.9437,1370.6992,1360.4703,1231.7274,1316.4723,1341.8204,1440.5328,1464.8466,1558.879,1695.3029,1762.793,1888.796,1952.2593,2025.2596,2065.6758,2058.9084,2123.7812,2125.9502,2070.7388,2078.012,2160.346,2384.7007,2567.6763,2831.6736,3072.4944,3162.433,3071.0347,3118.2515,3245.0645,3245.0645,3245.0645,3245.0645,3245.0645,3245.0645
Bermuda,17009.22238,17980.88677,18952.55115,19924.21554,20895.87992,21867.54431,22839.20869,23810.87308,24782.53746,25754.20185,26725.86623,27697.53062,28669.195,29640.85938,30612.52377,31584.18815,32555.85254,33527.51692,34499.18131,35470.84569,36442.51008,37414.17446,38385.83885,39357.50323,40329.16762,41300.832,44465.117,45943.42,58765.383,61147.863,66545.414,68593.26,54710.883,49732.24,50001.98,48334.645,48434.652,50412.773,50109.297,51003.266,51003.266,51003.266,51003.266,51003.266,51003.266
Bhutan,2085.9502,2398.5237,2443.7375,2691.6025,2672.7383,2702.9836,2797.4094,2810.3242,2883.323,2887.9648,2956.5295,3021.925,3352.5876,3161.7402,3188.662,3242.181,3463.349,3853.8672,3911.8835,4394.509,4428.868,4585.326,5162.9624,5553.9844,6377.2344,6264.4834,6182.142,6538.2363,7184.4434,7688.8325,8901.771,9147.525,9464.409,8591.17,8779.765,9778.855,10569.886,11190.055,11457.6455,11778.3955,11778.3955,11778.3955,11778.3955,11778.3955,11778.3955
Bolivia,2474.8115,2498.947,2406.6848,2340.8616,2392.7231,2471.14,2431.5186,2480.736,2180.893,2239.5469,2334.6396,2441.7268,2510.4255,2627.3396,2791.7134,3056.6145,3349.7717,3327.961,3334.2295,3275.3877,3264.6858,3341.6895,3441.554,3547.0254,3703.2166,3896.6584,4040.7559,4219.324,4686.3604,4799.179,5248.621,5819.723,6424.1636,7039.8984,7257.5317,7336.2764,7606.1006,8176.8667,8489.708,8584.631,8584.631,8584.631,8584.631,8584.631,8584.631
Bosnia and Herzegovina,868.6462841,895.9574545,923.268625,950.5797955,977.8909659,1005.202136,1032.513307,1059.824477,1087.135648,1114.446818,1141.757989,1169.069159,1196.38033,1223.6915,1682.9862,2458.7297,4819.343,6011.9326,6191.644,6813.799,6590.9287,6768.977,6890.504,6795.021,6872.452,7924.7686,8515.68,9146.995,9872.349,9866.624,10212.632,10612.199,11026.567,11099.285,11334.895,11810.186,12295.962,12650.211,13240.263,13795.342,13795.342,13795.342,13795.342,13795.342,13795.342
Botswana,2597.8147,2872.4485,2970.5972,3373.7844,4099.9224,4591.7314,4919.174,5230.4263,5572.6147,6851.0835,7205.6685,7522.306,7602.1924,7634.3486,7741.875,8272.153,9232.805,9649.924,9751.764,10506.664,11064.159,10805.393,12533.8545,12158.926,12506.996,14003.922,14303.025,14592.438,14481.412,13197.055,14527.12,15922.705,14734.384,14868.127,16191.077,15194.871,15642.398,16208.257,16123.994,16484.375,16484.375,16484.375,16484.375,16484.375,16484.375
Brazil,5876.957,5949.227,5947.452,5689.513,5770.7944,5942.8237,6652.9414,6739.375,6660.645,6684.725,6406.3853,6870.1934,6943.6846,7364.7383,8154.492,9343.925,11043.685,10535.267,9941.913,9463.232,9460.318,9288.298,9232.4375,9082.942,9449.636,9686.668,10455.969,11527.026,12705.692,13057.089,15012.523,16611.414,16416.596,16445.102,16262.959,15077.577,14219.3955,14284.612,14522.992,14593.961,14593.961,14593.961,14593.961,14593.961,14593.961
British Virgin Islands,10376.451,9952.631,9722.236,9852.981,9889.355,8587.797,8081.9966,9268.979,7387.406,10209.4795,11463.707,16625.326,17467.611,21650.596,30842.465,36508.855,39234.33,49741.67,39237.97,38649.668,48253.137,58126.535,59756.99,48647.707,37570.3,44813.06,50704.734,41761.414,37877.914,35767.12,29813.06,37936.527,28231.674,34141.562,37089.062,35163.727,36035.777,35850.496,36693.86,37368.71,37368.71,37368.71,37368.71,37368.71,37368.71
Brunei,102404.6,95613.98,89716.195,85583.445,82208.664,74525.74,53128.832,55889.07,49223.35,53985.72,60654.81,56637.906,64131.664,60985.883,54907.414,51049.883,64683.543,55034.957,46824.184,52497.906,60517.664,57681.754,57069.73,63741.97,69490.195,83200.984,95823.44,94212.97,100560.6,75805.57,81980.625,101071.7,106950.56,101447.52,89740.49,68632.53,63107.637,64383.55,70022.805,73249.19,73249.19,73249.19,73249.19,73249.19,73249.19
Bulgaria,8413.145,9009.623,9347.919,9916.832,10104.723,10631.926,10804.255,11746.984,12186.966,11892.826,12042.437,11277.964,10513.491,9749.018,9731.46,10361.104,9957.917,7654.9644,9056.117,9082.772,9956.198,10270.034,10737.501,11144.845,11735.487,13120.203,13993.135,15213.048,16406.996,15935.777,16649.312,16569.482,17080.576,16343.87,16967.645,17693.727,18665.13,19579.834,20390.068,21347.125,21347.125,21347.125,21347.125,21347.125,21347.125
Burkina Faso,1221.3806,1276.2411,1242.2354,1138.1323,1080.0626,1124.8083,1205.4205,1147.7544,1184.9922,1160.8605,1117.4508,1160.7626,1139.0725,1153.5916,1018.1679,1134.3264,1227.7261,1305.8582,1357.7869,1434.6727,1452.5415,1464.6792,1488.1113,1517.3728,1555.4323,1641.1025,1654.415,1603.9171,1590.919,1540.9338,1634.3345,1657.573,1750.7736,1779.4204,1712.6461,1716.6113,1844.6614,1919.5693,2054.6062,2120.1392,2120.1392,2120.1392,2120.1392,2120.1392,2120.1392
Burundi,976.77563,1016.79407,975.1791,968.25446,962.67194,1009.5938,1032.3475,1007.2282,1060.4954,998.24243,1015.2844,1035.9885,996.49475,916.3178,912.09564,816.39825,746.30005,724.5763,793.5564,789.194,747.8341,742.2993,758.14923,773.5017,789.04614,754.1615,759.1195,748.0403,764.151,746.0979,766.5949,811.1974,815.9228,871.4557,884.5523,853.4425,860.21265,826.2287,807.7167,790.046,790.046,790.046,790.046,790.046,790.046
Cambodia,894.67957,877.52185,851.91943,858.90594,865.22314,870.8439,877.9492,1023.8046,1124.1324,1163.6613,1126.2883,1187.5183,1458.3253,1260.4546,1362.662,1448.8633,1337.8323,1339.7513,1261.9955,1326.7015,1397.3701,1470.0815,1545.2461,1641.2275,1719.1466,1984.006,2081.027,2307.1787,2536.2568,2369.3308,2470.1335,2657.1636,2878.9788,3102.1301,3171.4949,3481.1858,3681.8535,3950.9294,4267.497,4500.0527,4500.0527,4500.0527,4500.0527,4500.0527,4500.0527
Cameroon,2402.5652,2633.9414,2900.8455,3208.8503,3513.9512,3536.363,3327.603,3174.7092,3011.1538,2825.573,2634.4004,2455.0403,2371.2751,2404.5642,2255.2986,2426.949,2508.1604,2550.758,2604.0693,2642.5076,2673.2998,2664.7683,2678.5527,2767.8074,2764.6033,2795.1963,2822.2488,2889.4202,2970.7505,2895.9507,2935.96,3044.646,3175.768,3226.7278,3319.3752,3367.5437,3484.3015,3521.3113,3606.3958,3651.4968,3651.4968,3651.4968,3651.4968,3651.4968,3651.4968
Canada,28173.58,28833.945,27830.648,28486.627,30159.096,30560.17,30737.06,32477.46,33621.164,34377.15,34183.887,32881.074,32806.844,33201.17,34410.92,35738.742,36273.516,37363.715,37557.99,39872.336,41998.54,41247.48,41119.555,42749.91,44200.812,47073.375,46799.203,47230.992,48610.477,43182.203,45646.465,47756.727,47564.656,48815.652,49926.117,46945.504,47032.89,48902.645,49458.035,49884.055,49884.055,49884.055,49884.055,49884.055,49884.055
Cape Verde,1821.4053,1924.9347,2020.5928,2131.804,1999.5618,2004.428,2237.2231,2306.6113,2327.5518,2454.1282,2351.278,2315.471,2466.6572,2542.366,2908.7559,2616.093,3093.3218,2945.0842,3250.8147,3736.329,3989.5159,4109.213,4204.4116,4363.4233,4656.1147,4703.1978,4901.2266,5551.7295,6065.5244,6153.6187,6556.2974,7107.8853,6783.9106,6385.5093,6257.3496,6515.8477,6723.243,6890.046,6825.9004,7271.0767,7271.0767,7271.0767,7271.0767,7271.0767,7271.0767
Cayman Islands,51621.28,54615.707,58045.33,63366.176,66410.53,55282.1,59219.766,67225.03,69878.91,73861.96,93746.13,85993.81,77732.41,86448.875,77573.98,76383.76,72067.63,78804.516,84630.88,80817.87,83431.4,79287.72,76854.555,79635.29,75014.9,84655.234,89880.04,91240.3,87702.87,74597.54,70624.02,66650.5,63185.582,61047.55,61900.49,64717.41,64717.41,64717.41,64717.41,64717.41,64717.41,64717.41,64717.41,64717.41,64717.41
Central African Republic,1139.7721,1291.9447,1265.4109,1159.7468,1213.225,1316.1558,1275.4431,1166.7627,1207.1034,1252.5315,1208.3816,1160.3212,1084.0619,1032.7296,1221.8749,1223.6832,1013.72034,1037.5809,1065.0952,1028.9662,1038.0139,1029.7571,1009.83325,943.44836,951.1939,952.6827,980.513,1015.932,1022.9952,1084.954,1120.8365,1132.229,1250.9657,822.4136,787.7278,872.60364,910.5085,928.03546,951.7136,978.34937,978.34937,978.34937,978.34937,978.34937,978.34937
