Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,11.5,14.0,30.0,23.25,16.5,9.75,3.0,1.5,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benin,1.0,0.5,0.0,0.0,0.0,61.0,40.66666667,20.33333333,0.0,1.0,2.0,3.0,2.0,1.0,0.0,20.0,11.0,0.0,0.0,3.0,3.875,4.75,5.625,6.5,7.375,8.25,9.125,10.0,15.0,10.0,46.0,0.0,4.0,1.0,1.714285714,2.428571429,3.142857143,3.857142857,4.571428571,5.285714286,6.0,13.0,44.0,44.0,44
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714286,0.571428571,0.857142857,1.142857143,1.428571429,1.714285714,2.0,2.285714286,2.571428571,2.857142857,3.142857143,3.428571429,3.714285714,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
Bhutan,,,,,,,,,,,,,,,39.0,31.2,23.4,15.6,7.8,0.0,200.0,150.0,100.0,50.0,0.0,4.6,9.2,13.8,18.4,23.0,12.0,1.0,1.9,2.8,3.7,4.6,5.5,6.4,7.3,8.2,9.1,10.0,10.0,10.0,10
Bolivia,0.0,0.0,0.0,250.0,0.0,0.0,29.0,25.0,0.0,0.0,0.0,26.5,53.0,29.0,5.0,22.5,40.0,56.0,155.0,3.0,36.0,50.0,96.0,95.0,48.0,0.0,25.0,58.0,57.0,0.0,30.0,52.0,13.0,107.0,126.0,40.0,4.0,5.0,6.0,83.0,31.0,46.0,64.0,34.0,0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.5,1.0,5.0,4.5,4.0,15.0,26.0,0.0,0.25,0.5,0.75,1.0,0.0,0.0,2.0,1.0,1
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,2.0,0.0,6.666666667,13.33333333,20.0,16.6,13.2,9.8,6.4,3.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,82.0,97.0,33.0,176.0,273.0,123.0,29.0,107.0,732.0,303.0,24.0,44.0,137.0,68.5,0.0,238.0,186.0,93.0,14.0,32.0,115.0,98.0,104.0,155.0,139.0,49.0,20.0,70.0,203.0,96.0,455.0,973.0,20.0,107.0,55.0,28.0,33.0,14.0,22.0,47.0,163.0,49.0,541.0,171.0,60
British Virgin Islands,,,,,,,,,,,,,,,,,0.0,0.428571429,0.857142857,1.285714286,1.714285714,2.142857143,2.571428571,3.0,3.428571429,3.857142857,4.285714286,4.714285714,5.142857143,5.571428571,6.0,6.428571429,6.857142857,7.285714286,7.714285714,8.142857143,8.571428571,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9
Brunei,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bulgaria,5.0,0.0,0.0,0.0,1.0,2.0,3.0,2.5,2.0,1.5,1.0,0.666666667,0.333333333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,2.0,1.0,13.66666667,26.33333333,39.0,18.0,17.0,10.0,6.5,3.0,20.5,38.0,29.5,21.0,5.0,3.333333333,1.666666667,0.0,0.0,0.0,0.0,1277.0,8.0,8
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333,10.66666667,16.0,8.0,0.0,5.5,11.0,16.5,22.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,9.0,16.0,0.0,18.0,2.0,0.0,8.0,15.0,2.0,5.666666667,9.333333333,13.0,6.5,0.0,0.0,0
