,Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
24,Botswana,12.0,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4.0,-0.8,8.5,2.5,7.1,-1.6,8.0,4.3,2.3,7.4,5.4,1.4,5.0,6.0,5.8,3.3,-14.1,10.1,6.8,-0.2,11.1,5.7,-4.9,7.2,4.1,4.2,3.0,-8.7,11.9,5.5,2.7,1.0,5.2,4.8,4.0,4.0,4.0
25,Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1.0,-0.5,4.7,5.3,4.4,2.2,3.4,0.3,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.2,-3.3,4.8,3.0,2.9,3.0,2.2,2.3,2.4,2.5,2.5
26,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,2.0,1.1,-1.1,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.8,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.6,1.4,2.4,2.5,2.6,2.7,2.9,3.1
27,Bulgaria,5.7,5.3,4.2,3.0,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.8,-8.4,-11.6,-3.7,-1.6,5.2,-14.1,3.8,-8.4,4.6,3.8,5.9,5.2,6.5,7.1,6.8,6.7,6.1,-3.3,1.6,2.1,0.7,-0.5,0.9,3.4,3.0,2.7,2.7,4.0,-4.0,7.7,3.9,1.8,2.3,2.5,2.8,2.7,2.7,2.6
28,Burkina Faso,4.0,2.7,1.4,-1.2,1.6,11.3,8.0,-0.2,5.8,2.2,-0.6,9.1,0.2,3.5,1.3,5.7,11.0,6.3,7.3,7.3,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3.0,8.4,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.5,1.9,6.9,1.8,3.1,5.5,5.8,5.0,4.9,4.9,5.0
29,Burundi,-6.8,12.2,-1.1,3.7,0.2,11.8,3.2,5.5,5.0,1.3,3.5,5.8,1.0,-6.2,-3.8,-7.9,-8.0,0.4,4.8,1.2,1.8,1.7,2.4,2.5,3.8,4.4,5.4,3.5,4.9,3.8,5.1,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8,0.3,3.1,1.8,2.7,2.2,3.5,4.5,5.2,5.5,5.0
30,Cabo Verde,5.3,8.5,2.8,9.5,3.8,8.6,2.9,4.3,6.0,5.7,0.7,1.4,3.0,7.3,6.9,7.5,6.7,7.6,8.4,11.9,7.3,6.1,5.3,7.5,4.9,5.8,9.1,15.2,7.0,-1.5,1.8,3.9,1.1,0.6,0.7,0.9,4.3,4.6,3.7,6.9,-20.8,7.0,17.4,5.1,4.7,4.7,4.6,4.6,4.5,4.5
31,Cambodia,60.0,53.7,47.4,41.1,34.8,28.5,22.2,15.899999999999999,9.6,3.3,1.1,7.6,7.1,4.0,8.2,6.0,5.9,4.0,4.7,12.7,10.7,7.4,6.3,10.3,9.5,13.3,10.9,10.4,7.5,4.1,5.1,7.3,7.7,7.9,8.0,7.2,7.9,8.1,8.8,7.9,-3.6,3.1,5.1,5.0,5.5,5.8,6.2,6.1,6.0,6.0
32,Cameroon,9.9,17.1,7.6,6.8,7.5,8.1,6.8,-2.2,-7.9,-1.8,-6.2,-3.8,-3.1,-3.2,-2.5,3.3,4.9,5.3,4.9,4.1,3.4,3.4,4.8,5.0,6.6,1.2,3.5,4.1,2.9,2.6,2.9,3.5,4.5,5.0,5.8,5.6,4.5,3.5,4.0,3.4,0.5,3.0,3.7,3.2,3.9,4.2,4.3,4.7,4.8,4.8
33,Canada,2.2,3.5,-3.2,2.6,5.9,4.7,2.1,4.1,4.4,2.3,0.2,-2.1,0.9,2.7,4.5,2.7,1.7,4.3,3.9,5.1,5.1,1.9,3.0,1.8,3.1,3.2,2.6,2.0,1.0,-2.9,3.1,3.1,1.8,2.3,2.9,0.6,1.0,3.0,2.7,1.9,-5.0,5.3,3.8,1.2,1.3,2.4,2.0,1.8,1.8,1.6
