Country Name,GDP Data,Enrollment Rates
Antigua and Barbuda,9872.611,78.00217286
Antigua and Barbuda,8301.26,80.54164
Antigua and Barbuda,10811.342,83.08110714
Antigua and Barbuda,11580.012,85.62057429
Antigua and Barbuda,12113.277,88.16004143
Antigua and Barbuda,12859.191,90.69950857
Antigua and Barbuda,13509.29,93.23897571
Antigua and Barbuda,13184.683,95.77844286
Antigua and Barbuda,12963.708,98.31791
Antigua and Barbuda,13023.911,96.06164125
Antigua and Barbuda,13952.826,93.8053725
Antigua and Barbuda,12543.144,91.54910375
Antigua and Barbuda,13284.202,89.292835
Antigua and Barbuda,13282.802,87.03656625
Antigua and Barbuda,8923.83,84.7802975
Antigua and Barbuda,12703.485,82.52402875
Antigua and Barbuda,15362.205,80.26776
Antigua and Barbuda,12442.862,84.72406429
Antigua and Barbuda,12615.345,89.18036857
Antigua and Barbuda,14083.061,93.63667286
Antigua and Barbuda,10951.267,98.09297714
Antigua and Barbuda,16398.395,102.5492814
Antigua and Barbuda,18315.209,107.0055857
Antigua and Barbuda,22632.906,111.46189
Antigua and Barbuda,22791.188,121.36728
Antigua and Barbuda,21124.994,117.81633
Antigua and Barbuda,21019.088,114.83801
Antigua and Barbuda,21799.564,115.56559
Antigua and Barbuda,21588.543,116.68987
Antigua and Barbuda,19078.605,115.799765
Antigua and Barbuda,9101.859,114.90966
Antigua and Barbuda,16416.924,117.02777
Antigua and Barbuda,16229.569,116.779085
Antigua and Barbuda,16229.569,116.5304
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Antigua and Barbuda,16229.569,120.93596
Argentina,4492.1455,55.65439
Argentina,4459.6807,56.83386
Argentina,4606.9507,58.73199
Argentina,4914.8843,59.59237
Argentina,5155.431,65.26048
Argentina,4955.8945,70.21036
Argentina,5429.1235,70.23778
Argentina,5689.87,69.91692
Argentina,5963.5186,70.39898
Argentina,5657.7783,71.4036
Argentina,6260.611,72.40822
Argentina,7267.511,73.74808
Argentina,8444.155,72.86090667
Argentina,9568.051,71.97373333
Argentina,11006.12,71.08656
Argentina,12187.799,75.03148
Argentina,15569.968,78.9764
Argentina,15884.046,74.94843
Argentina,15672.702,81.11338
Argentina,14590.631,92.76284
Argentina,14332.45,96.62179
Argentina,13321.491,98.06224
Argentina,11287.75,97.46813
Argentina,12115.066,96.50584
Argentina,13113.357,95.99762
Argentina,14113.8545,94.18666
Argentina,15259.149,92.96173
Argentina,16769.285,92.61042
Argentina,17920.453,93.50382
Argentina,16903.314,96.63702
Argentina,19190.504,99.23
Argentina,21360.64,100.99384
Argentina,21611.586,102.7823
Argentina,21429.314,104.59675
Argentina,20635.297,106.09213
Argentina,21197.787,107.54907
Argentina,20887.232,109.64594
Argentina,23272.184,110.41241
Argentina,23018.549,109.697
Argentina,21826.838,110.49853
Argentina,21826.838,112.41668
Argentina,21826.838,116.55945
Argentina,21826.838,116.55945
Argentina,21826.838,116.55945
Argentina,21826.838,116.55945
Armenia,2669.13596,nan
Armenia,2755.043572,nan
Armenia,2840.951184,nan
Armenia,2926.858795,nan
Armenia,3012.766407,nan
Armenia,3098.674019,nan
Armenia,3184.58163,nan
Armenia,3270.489242,nan
Armenia,3356.396853,nan
Armenia,3442.304465,nan
Armenia,3528.212077,nan
Armenia,3614.119688,91.78345
Armenia,3700.0273,89.38117
Armenia,3642.7449,94.84832
Armenia,2893.7903,97.28942
Armenia,3076.1155,94.242165
Armenia,3441.8337,91.19491
Armenia,3621.5447,90.01465
Armenia,3328.9885,78.08896
Armenia,3688.1565,78.10273
Armenia,3798.6646,90.11558
Armenia,4040.34,85.99231
Armenia,4396.316,85.50342667
Armenia,5031.019,85.01454333
Armenia,5389.253,84.52566
Armenia,6023.9185,86.74301
Armenia,6901.371,89.11322
Armenia,7882.088,89.97133
Armenia,8643.752,89.15847
Armenia,8038.7026,94.77202
Armenia,8880.064,100.51909
Armenia,9795.726,90.08053
Armenia,11476.973,87.242285
Armenia,11309.393,84.40404
Armenia,10791.942,84.93111
Armenia,11156.541,85.7937
Armenia,11325.965,86.72132333
Armenia,12979.432,87.64894667
Armenia,13588.856,88.57657
Armenia,14735.138,93.61715
Armenia,14735.138,94.89111
Armenia,14735.138,97.30156
Armenia,14735.138,96.86456
Armenia,14735.138,96.86456
Armenia,14735.138,96.86456
Australia,24692.652,106.0391574
Australia,25480.332,108.2380191
Australia,24547.38,110.4368809
Australia,25622.756,112.6357426
Australia,26227.945,114.8346043
Australia,26544.85,117.0334661
Australia,26864.248,119.2323278
Australia,28604.322,121.4311896
Australia,29805.865,123.6300513
Australia,30357.975,125.828913
Australia,29933.852,128.0277748
Australia,29537.36,130.2266365
Australia,30333.725,132.4254983
Australia,31075.062,134.62436
Australia,32160.309,132.97379
Australia,33466.836,143.85995
Australia,34960.195,148.62698
Australia,36290.953,153.00317
Australia,37137.207,153.3424806
Australia,38633.94,153.6817911
Australia,39331.9,154.0211017
