Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,92.846146,93.50892,92.13231,93.81518,94.24794,96.17125,99.64796,100.91726,102.03392,102.08363,103.10013,102.7586,103.18271,103.54242,104.51058,105.02539,105.03411,104.72202,97.5271,98.31349,98.61234,98.86086,98.95127,99.39745,99.28564,100.19943,100.41668,100.10257,100.12613,100.59409,100.26397,99.67296,100.10873,101.17321,101.30481,101.41158,100.22799,100.3379,100.6926,101.54363,101.69056,102.30766,101.458,101.458,101.458
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.979,86.972,85.783,85.076,84.949,86.499,76.23,78.159,94.48008,94.77549,81.75826,81.65769,80.6305,80.6305,80.6305
Bahamas,89.05914,83.69575,83.69349,84.27518,90.36211,83.40092,84.80752,90.84943,87.73244333,84.61545667,81.49847,82.63143,90.97876,91.57901,87.07275,85.96348,83.62636,81.28924,78.59306,75.89688,79.37664,82.8564,86.33616,83.516685,80.69721,81.65555,82.07,85.14445,85.34673,84.87865,85.44678,82.03259,83.03085,74.58459,79.04047,76.69421143,74.34795286,72.00169429,69.65543571,67.30917714,64.96291857,62.61666,62.61666,62.61666,62.61666
Bahrain,55.71829,61.82242,65.11238,73.57033,71.13472,74.66775,79.15504,81.48941,82.66384,83.69295,81.75132,94.30612,87.86044,85.61812,84.03318,81.91276,80.01063,77.65661,78.28186,78.06358,81.46063,83.45987,86.37125,88.95129,86.30527,83.22975,83.67875,86.10357,88.52839,89.85981,90.04248,92.42068,95.42397,105.04255,104.19476,100.81345,101.83951,101.75751,100.4351,101.02108,101.8443767,102.6676733,103.49097,103.49097,103.49097
Bangladesh,19.61556,17.32423,19.013625,20.70302,20.79852,20.12691,19.5954,19.98,19.94635,19.86262,20.45443,23.3595675,26.264705,29.1698425,32.07498,34.9801175,37.885255,40.7903925,43.69553,46.97891,48.71913,50.31414,51.4181,51.25708,47.86414,46.60288,47.08379,47.90072,45.96439,49.7341,51.186,51.503,53.6534,57.959,59.995115,62.03123,66.923,64.856,67.421,67.221,69.014,70.293,71.822,71.822,71.822
Barbados,90.94126,91.77707,91.9947,94.43438,96.80743,101.42802,99.1668075,96.905595,94.6443825,92.38317,88.85434,91.06176778,93.26919556,95.47662333,97.68405111,99.89147889,102.0989067,104.3063344,106.5137622,108.72119,106.4964,106.89549,106.53872,105.99099,106.92234,107.731,106.92678,108.90155,110.27546,109.85667,107.44517,107.06093,107.4322667,107.8036033,108.17494,108.28153,108.47801,110.00706,108.46265,106.3282,104.71501,104.71025,106.39241,106.39241,106.39241
Belarus,98.8223,99.69676,99.07727,98.31656,97.37296,96.94114,96.91462,97.05193,97.10059,96.97368,95.21172,90.03162,88.92971,87.54968,87.96463,89.22056,91.002,90.49701,82.31291,85.757907,89.202904,92.647901,96.092898,99.537895,102.982892,106.427889,109.872886,113.317883,116.76288,114.90804,111.07816,107.98933,105.30533,100.99538,98.98171,97.52033,97.04809,96.01177,95.49972,94.92053,95.00747,95.21339,94.5359,94.5359,94.5359
Belgium,90.25147,91.48277,93.41763,93.67448,96.1074,98.1687,99.75695,100.44987,102.30074,103.57439,104.52214,104.73703,105.01201,142.57513,143.30888,144.08759,144.00554,143.6317467,143.2579533,142.88416,146.91978,155.94617,157.64877,158.87923,151.63809,157.3434,158.6851,159.4399,160.46881,159.66154,160.66048,159.3493,160.11053,161.84589,162.42198,164.07982,160.68927,158.67029,156.50977,156.63538,151.72751,143.16351,143.16351,143.16351,143.16351
Belize,51.51923,51.34569,52.26515,54.6265,56.98785,59.3492,61.71055,63.43589,62.70323,61.97057,61.23791,60.50525,62.56843667,64.63162333,66.69481,66.8363,66.257435,65.67857,65.099705,64.52084,67.57897,69.45393,72.57449,75.69505,77.11399,75.58923,76.16588,75.28037,75.04401,74.64116,75.10253,75.62545,78.31773,80.19975,79.97025,80.97367,87.4976,84.77844,86.31658,87.37933,85.94648,88.74031,86.99241,86.99241,86.99241
Benin,11.58525,14.47191,17.27158,19.86194,18.90764,17.8848,15.44897,14.3062,14.788895,15.27159,15.754285,16.23698,16.719675,17.20237,17.685065,18.16776,18.650455,19.13315,19.615845,20.09854,20.87474,22.65257,24.59546,25.94239,27.78561,30.58975143,33.39389286,36.19803429,39.00217571,41.80631714,44.61045857,47.4146,50.75084,54.08708,54.73263,57.39496,57.52967,54.58245,51.63523,48.68801,45.74079,46.07704,45.36517,45.36517,45.36517
Bermuda,118.60102,117.1411138,115.6812076,114.2213014,112.7613952,111.301489,109.8415829,108.3816767,106.9217705,105.4618643,104.0019581,102.5420519,101.0821457,99.62223952,98.16233333,96.70242714,95.24252095,93.78261476,92.32270857,90.86280238,89.40289619,87.94299,87.9068,90.01352,93.3165,93.30979,89.69625,90.56896,91.44167,92.31438,93.18709,92.70386,91.90601,91.49682,90.5531,90.52207,89.705,85.493,86.105,81.548,80.447,80.723,75.845,75.845,75.845
Bhutan,7.463732,8.577846,9.69196,11.21175,11.96536,11.96309,12.94092769,13.91876538,14.89660308,15.87444077,16.85227846,17.83011615,18.80795385,19.78579154,20.76362923,21.74146692,22.71930462,23.69714231,24.67498,28.17782,31.50911,34.7675,37.0775575,39.387615,41.6976725,44.00773,46.44666,50.2342,53.492,58.51072,62.85637,66.87549,71.99503,76.55276,84.0442,85.19419,85.68352,86.6147,87.52885,88.62056667,89.71228333,90.804,88.193,88.193,88.193
Bolivia,44.48490739,45.86910087,47.25329435,48.63748783,50.0216813,51.40587478,52.79006826,54.17426174,55.55845522,56.9426487,58.32684217,59.71103565,61.09522913,62.47942261,63.86361609,65.24780957,66.63200304,68.01619652,69.40039,74.71456,72.75764,75.78627,80.6307,83.46973,86.381,87.42555,86.59063,86.0496,85.36838,83.75238,88.9522,86.17042,88.13653,89.92642,90.59773,91.79682,91.86394,90.68402,90.009,90.06549,90.00483,91.49611,91.46737,91.46737,91.46737
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.03553,85.06792,86.34466,83.71725,84.51416,85.37613,84.73012,84.60134,83.07,82.9606,84.27436,86.10269,85.81581,85.29924,84.96984,85.29152,83.896,83.896
Botswana,19.43229,21.15066,21.305185,21.45971,25.7268,29.22569,31.18389,32.66411,32.40552,37.87569,41.49112,49.84057,48.86114,52.60324,51.01546,57.15682,62.35211333,67.54740667,72.7427,73.39482,74.5901,73.78363,74.26955,74.74694,76.26604,77.11647,78.85336,79.32858,74.57982,74.22894077,73.87806154,73.52718231,73.17630308,72.82542385,72.47454462,72.12366538,71.77278615,71.42190692,71.07102769,70.72014846,70.36926923,70.01839,70.01839,70.01839,70.01839
Brazil,53.53469429,53.00001143,52.46532857,51.93064571,51.39596286,50.86128,52.47089852,54.08051704,55.69013556,57.29975407,58.90937259,60.51899111,62.12860963,63.73822815,65.34784667,66.95746519,68.5670837,70.17670222,71.78632074,73.39593926,75.00555778,76.6151763,78.22479481,79.83441333,81.44403185,83.05365037,84.66326889,86.27288741,87.88250593,89.49212444,91.10174296,92.71136148,94.32098,103.91768,102.63553,100.92052,102.56951,103.01596,105.00707,103.95328,104.126,106.6519,106.6519,106.6519,106.6519
British Virgin Islands,71.969055,69.93811,80.28953,90.64095,100.99237,80.99174,82.610982,84.230224,85.849466,87.468708,89.08795,91.38211,88.24903,90.941395,93.63376,94.67156,95.70936,96.74716,97.78496,98.82276,96.49235,96.00492,93.9823,94.61182,97.54286,106.56852,110.55305,107.73976,106.58432,105.42888,106.62112,98.41351,98.14257,96.5332,96.45631,99.1683,100,91.70394,89.803885,87.90383,86.003775,84.10372,82.61032,82.61032,82.61032
Brunei,59.56422,61.87541,64.8527,66.69342,64.25205,64.09799,62.20308,65.21261,68.22214,71.23167,74.2412,77.25073,79.01773,79.02403,76.30117,74.2343125,72.167455,70.1005975,68.03374,68.66112,67.86623,69.64824,71.91153,74.10658,78.32928,82.25287,87.09359,88.99275,91.63421,95.49126,97.91604,101.30292,106.51975,105.06458,99.62799,107.579,93.4086,91.66323,91.49577,89.64858,88.43155,88.43155,88.43155,88.43155,88.43155
Bulgaria,87.83314,87.19871,87.60379,88.88565,89.9869,91.47681,96.54844,99.15441,102.17311,103.60409,100.58966,98.98863,96.7985,94.43852,91.51751,92.94976,93.20756,92.33367,91.32411,79.27643,79.87591,80.94408,83.98199,88.11878,90.53427,91.36677,92.41201,93.15416,92.38407,92.52138,94.18192,96.43613,95.39035,101.15254,103.01329,100.06047,97.34303,95.74574,95.31897,93.51918,91.27994,89.73564,89.73564,89.73564,89.73564
Burkina Faso,2.47393,2.64081,2.93272,2.96812,3.19066,3.79249,4.51816,5.14497,5.77654,6.56521,6.84859,7.18596,7.39049,7.79691,8.11277,8.364374,8.615978,8.867582,9.119186,9.37079,9.92552,10.1022,10.72348,11.34476,12.43412,13.44847,14.23979,15.36945,18.09885,19.5438,21.28375,23.28588,25.34852,27.733,29.73263,33.09025,35.15085,37.37361,39.82089,40.27326,39.42958,38.28987,33.72491,33.72491,33.72491
Burundi,2.53344,2.77395,2.93998,2.802,2.96073,3.23849,3.44759,3.80818,3.98829,4.40411,4.72083,5.33408,5.6863,6.27831,6.69838625,7.1184625,7.53853875,7.958615,8.37869125,8.7987675,9.21884375,9.63892,10.15573,10.49339,12.08378,13.28458,14.68443,15.71732,18.579595,21.44187,24.39565,27.53421,30.41756,35.21596,41.48269,45.28648,48.99528,49.80751,47.85395,43.20808,46.39147,44.187735,41.984,41.984,41.984
Cambodia,19.24658263,20.38179421,21.51700579,22.65221737,23.78742895,24.92264053,26.05785211,27.19306368,28.32827526,29.46348684,30.59869842,31.73391,29.84490714,27.95590429,26.06690143,24.17789857,22.28889571,20.39989286,18.51089,17.79261,19.07435,20.96726,24.69613,28.72376,31.98047,36.36279,40.74511,43.96675,47.02081,47.25783111,47.49485222,47.73187333,47.96889444,48.20591556,48.44293667,48.67995778,48.91697889,49.154,51.368,52.308,54.83575,57.96,57.96,57.96,57.96
Cameroon,16.84312,17.77723,18.23356,19.59229,20.53013,21.94987,22.19815,24.17345,25.20706,25.72961,25.90469,27.42386,28.30938,27.701325,27.09327,26.06428,25.168505,24.27273,25.09275,26.54378,27.97616,32.95298,28.74719,30.28798,26.9294,27.41305,23.88817,32.74295,37.0601,40.92974,44.04,48.97041,52.17363,53.98152,58.17965,59.55471,60.46559,50.637,46.473,44.423,45.259,45.02811,45.14367,45.14367,45.14367
Canada,89.08874,89.61674,93.55755,95.84721,98.52967,98.96336,98.68904,98.89923,99.5427,100.1666,100.26576,101.18183,101.97875,103.58438,104.7069,104.11094,104.3413,104.451705,104.56211,101.8595,101.99274,101.645772,101.298804,100.951836,100.604868,100.2579,100.43989,101.26681,102.26623,102.96379,102.49622,102.81798,110.9018,111.51958,111.85591,111.93045,111.77029,111.8021,111.45297,110.8583,110.07907,109.33431,109.33431,109.33431,109.33431
Cape Verde,7.63338,8.09684,8.94376,9.940345,10.93693,11.96299,12.98905,14.01511,15.81621,16.90296,19.05616,20.40488,21.7536,23.10232,24.45104,30.75929833,37.06755667,43.375815,49.68407333,55.99233167,62.30059,61.85618,65.91545,67.39521,67.23018,70.56294,81.75603,80.4359,81.92309,81.02209,83.46912,85.58028,86.70753,89.0097,87.44263,87.53731,87.70491,87.0911,83.24232,84.10881,87.30781,86.4913,86.4913,86.4913,86.4913
Cayman Islands,75.50914,102.67194,101.9346933,101.1974467,100.4602,99.72295333,98.98570667,98.24846,97.51121333,96.77396667,96.03672,95.29947333,94.56222667,93.82498,93.08773333,92.35048667,91.61324,90.87599333,90.13874667,89.4015,93.12127,85.51043,80.94744,84.02419,87.10094,88.13983,88.1155,90.20078,94.55943,93.70855333,92.85767667,92.0068,89.0027,88.73461,96.301,97.238,101.778,102.868,96.34146,98.41491,97.3954,101.50027,101.51199,101.51199,101.51199
