,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
23,Bolivia,0,0,0,250,0,0,29,25,0,0,0,26.5,53,29,5,22.5,40,56,155,3,36,50,96,95,48,0,25,58,57,0,30,52,13,107,126,40,4,5,6,83,31,46,64,34,0
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,0,6,0,0,0,0,4,2,0,0.5,1,5,4.5,4,15,26,0,0.25,0.5,0.75,1,0,0,2,1,1
25,Botswana,0,0,0,0,0,0,0,0,8,6,4,2,0,6.666666667,13.33333333,20,16.6,13.2,9.8,6.4,3,2.25,1.5,0.75,0,0,0,0,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0
26,Brazil,82,97,33,176,273,123,29,107,732,303,24,44,137,68.5,0,238,186,93,14,32,115,98,104,155,139,49,20,70,203,96,455,973,20,107,55,28,33,14,22,47,163,49,541,171,60
27,British Virgin Islands,,,,,,,,,,,,,,,,,0,0.428571429,0.857142857,1.285714286,1.714285714,2.142857143,2.571428571,3,3.428571429,3.857142857,4.285714286,4.714285714,5.142857143,5.571428571,6,6.428571429,6.857142857,7.285714286,7.714285714,8.142857143,8.571428571,9,9,9,9,9,9,9,9
28,Brunei,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Bulgaria,5,0,0,0,1,2,3,2.5,2,1.5,1,0.666666667,0.333333333,0,0,0,0,0,3,0,14,2,1,13.66666667,26.33333333,39,18,17,10,6.5,3,20.5,38,29.5,21,5,3.333333333,1.666666667,0,0,0,0,1277,8,8
30,Burkina Faso,0,0,0,0,0,0,5.333333333,10.66666667,16,8,0,5.5,11,16.5,22,0,0,0,0,6,3,0,0,0,0,0,0,52,6,9,16,0,18,2,0,8,15,2,5.666666667,9.333333333,13,6.5,0,0,0
31,Burundi,,,,,,,,,,12,10.8,9.6,8.4,7.2,6,4.8,3.6,2.4,1.2,0,2,4,0,0,3,110,32,5,9,0,9,12,40,68,96,45,18,6,0,61,5,0,10.5,21,0
32,Cambodia,,,,,,,,0,25,50,75,100,235.3333333,370.6666667,506,0,59,25,16,7,347,56,29,14.5,0,16,5,2,10.5,19,8,247,14,200,45,0,0,0,0,12,44,1,31,0,0
