,Country Name,Country Code_x,Country Code_y,ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
23,Belarus,BLR,BLR,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,100.0,,,,,,,,,,100.0,,,,,,99.72204,,,,100.0,,,,
24,Belgium,BEL,BEL,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Belize,BLZ,BLZ,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,80.900000765,,,,,,,,,,,,,,90.916039255,,,,,,,,
26,Benin,BEN,BEN,1.5,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,27.0,,,,,,,,,,35.0,,,,28.702110145,,,,,,32.948819105,,,38.44714,,38.871209095,,,,43.834170650000004,47.099999235,
27,Bermuda,BMU,BMU,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bhutan,BTN,BTN,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,55.0,,,63.90682,,67.0,,,,,72.099999235,
29,Bolivia,BOL,BOL,1.5,,,,,,,,,,,58.0,59.0,60.0,61.0,62.0,63.0,63.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,87.0,,,,,,91.0,91.0,91.0,,92.0,94.0,,,92.0,,,,,94.0,,,
30,Bosnia and Herzegovina,BIH,BIH,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,97.0,,,,,,,,,,,98.14203821999999,,97.0,98.37765,98.48576,,,,,,,98.300001525,
31,Botswana,BWA,BWA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,81.0,,,,,,,,,,86.823180575,87.70751,88.22441,,,,,,,,
32,Brazil,BRA,BRA,1.5,,,,,,,,,,,68.0,,,,,,,,,75.0,75.0,,,,,,,,,,,,,,,,,,,,86.0,,,,89.0,,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,,,,94.69000122,
33,British Virgin Islands,VGB,VGB,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Brunei,BRN,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,93.0,,,,,,,,,,96.0,,,,96.65653,,,,,,97.59,,
35,Brunei Darussalam,,BRN,2.0,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,88.0,,,,,,,,,,93.0,,,,,,,,,,96.0,,,,,,,,,,97.58999634,,
36,Bulgaria,BGR,BGR,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,98.0,,,,98.38858,,,,,,98.419999085,,
37,Burkina Faso,BFA,BFA,1.5,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,14.0,,,,,13.0,,,,,,,22.0,,24.0,22.0,28.0,,,,,,,35.0,37.7467,,,39.0,30.0,,36.96738026,34.49000084,
38,Burundi,BDI,BDI,1.5,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,37.0,,,,,,,,,,59.0,,,,,,,,48.0,,,,,,62.0,85.49609,65.687738255,68.0,,,,,75.54000046,
39,Cabo Verde,,CPV,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,76.11044312,,,,,,,,,,,,85.0,,,87.0,,,,,,,91.0,
40,Cambodia,KHM,KHM,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,74.0,,,,77.0,76.0,,,,,78.0,81.0,,,,,,71.92725186,83.77999939,
41,Cameroon,CMR,CMR,1.5,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,71.0,,,71.0,,,,,74.98558,,,72.54712838500001,,78.23000168,,,
42,Canada,CAN,CAN,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cape Verde,CPV,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11044,,,,80.01972,,,,,,,,85.0,,,87.0,,,,,,,91.0,
44,Caribbean small states,,CSS,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.84288788,86.90670776,87.2071228,87.50739288,87.80066681,88.09118652,88.38037872,88.67469025,88.9420166,89.18743134,89.41989136,89.63707733,89.89797974,90.05967712,90.61286926,90.83847046,,91.76071,,,,,,,,,,,,,
45,Cayman Islands,CYM,CYM,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,99.0,,,,,,
46,Central African Republic,CAF,CAF,1.5,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,34.0,,,,,,,,,,,,51.0,,,,,,,,,,36.752609625,,,,,36.75261,,,37.0,42.442790495,37.49000084,,,
47,Central Europe and the Baltics,,CEB,1.5,,,,,,,,,,,,,,,,,,,,,,,97.97561646,97.99900055,98.03502655,98.06440735,98.0940094,98.12998199,98.21186066,98.27559662,98.34002686,98.400383,98.45832825,98.50900269,98.55934906,98.60749054,,,,,98.96019,,,,,,,,,,99.36096,,,99.29689789,99.31459808,99.3322525,99.3502121,99.37020874,99.41867828,99.43811798,99.45659637,99.47559357,99.48735046,
48,Central Europe and the Baltics (WB),,,1.0,,,,,,,,,,,,,,,,,,,,,,,,97.999,98.03503,98.06441,98.09401,98.12998,98.21186,98.2756,98.34003,98.40038,98.45833,98.509,98.55935,98.60749,,,,,,,,,,,,,,,,,,99.2969,99.3146,99.33225,99.35021,99.37021,99.41868,99.43812,99.4566,99.47559,99.48735,
49,Chad,TCD,TCD,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,26.0,,,,28.0,,,,,,,,,,39.04967,26.00299036,22.0,,,30.627920075,,,27.280000345,
50,Channel Islands,,CHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chile,CHL,CHL,1.5,,,,,,,,,,,88.0,,,,,,,,,91.0,92.0,,91.0,,,,,,,,,,94.0,,,,,,,,,,96.0,,,,,,98.64901,98.55368,,97.0,,96.0,,97.0,,96.0,,,,,97.16000183,
52,China,CHN,CHN,1.5,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,78.0,,,,,,,,,,91.0,,,,,,,,,,95.0,,,,,96.35745,,,,,97.0,,,
