Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bermuda,,,,,,0,0,70.93708,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,12584.697,,,,,0,170.29683,,,,0,,,,,1.7199813,,2805.963,,,,,,,,,,64.56592,,,
Bolivia,261.50208,,500.74133,51188.36,47.98523,7.4385724,4753.1504,300.23575,0,,3990.3074,,549.7391,,2794.4841,,0,2334.833,218.09041,93.61236,608.508,4084.741,193.59389,304.60223,455.85626,500.4375,1326.6737,4744.554,3770.7756,878.96893,2843.1196,892.8701,653.61383,6603.2837,2819.669,1525.8848,5952.402,,104.98922,3299.0532,1370.7162,2382.612,3196.878,17411.414,51.641777
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,26.24605,9.642636,214.54414,,1495.6649,6710.3433,75.71507,,0,,354.07086,916.0102,,281.59885,,28019.613,0,,,,22.58446,452.0237,7643.044,125.311966,312.0664,
Botswana,,,13271.699,16988.883,16394.629,15825.41,15281.2,14807.373,951.9725,,,,7038.8037,,,356.30048,,,,,8035.706,,,,266.79764,,,,,246.75488,,0,,189.87184,,0,,135.31247,172.34972,1520.1793,,,,,
Brazil,221.64656,41.78382,3.3576672,17818.604,292.55627,449.61667,22.439306,201.60841,2440.5596,781.7008,1.8579165,11.478027,94.645454,,0.62119335,21.893972,8.495089,37.304794,2546.9949,3287.3691,130.77565,569.2359,2.7704408,53.477184,142.71713,22.133078,61.433945,635.09875,910.34924,958.806,154.57988,612.0439,1390.5284,881.11957,4727.7466,4533.0747,4383.13,49.946053,0.7375102,4744.941,8.574258,627.4995,226.29097,572.7317,46.883507
British Virgin Islands,,,,,,,,,,,,,,,,,16.534391,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,0,,0,,,34.41257,,,,0,,,58.06162,,,,0.66113997,5.6831055,10.413734,2.0623155,0,0,,,156.10564,7.0434866,14.626181,0,,1.1854161,,509.59177,,115.936455,0,,,8.4300165,,,7.6243157,161.26619,60.349453,
Burkina Faso,582.8383,3394.0762,3302.2532,3210.447,3138.5627,3045.7239,,,2693.1152,,28473.299,,,,658.9861,57.006153,656.1208,,184.80382,13.525749,,0,,93.01183,,,178.88766,820.23724,32.043865,968.05,827.46936,1340.4124,15475.615,64.61631,22014.498,154.53021,181.0225,4.446492,,,14080.304,,15440.436,,
Burundi,,,,,,,,,,66.992874,,,,,,,,,,1674.2207,4578.144,4470.7397,120.31973,0,359.8061,26887.62,2383.9302,349.34363,834.23615,995.66315,1331.1621,7.773059,,,120.83942,52.306515,13.188633,7.2609324,417.2454,115.496315,341.7448,377.3499,,72.14532,4.8191314
Cambodia,,,,,,,,0,,,,9719.893,,,10917.981,17685.893,28942.332,0,,5549.865,28451.996,15960.045,16876.586,,0,4529.4683,281.94553,138.5365,,1258.0831,0,11253.156,483.54428,10000.206,3487.3208,183.55733,16000.424,,36.298985,2683.9019,4631.1294,82.741425,1000.54565,83.21122,
Cameroon,,,,,0,,103.20675,,9.294043,,817.54816,795.1453,,,0,,,,,27.280813,3.3131018,9.681632,,0.6114591,,0,,56.410664,133.14102,,15.569942,,304.19324,3.7211921,1121.0968,130.36308,,52.842636,,0,99.6637,,9108.056,6.981462,
Canada,20.398579,0,0.7967647,0,94.04704,26.783863,34.078625,0.94564843,0,91.76195,0,0,0,0.69763786,14.851012,41.311832,40.548958,102.40021,43.45689,18.750137,2.7376442,3.9673877,1.915562,8.444168,3.1336498,18.31393,11.988246,1.521493,7.2248807,0.604276,0,26.279345,4.3237786,285.19525,19.500282,36.482582,244.50668,171.12604,21.412027,51.968704,192.50064,40.760044,15.602925,81.09581,
