,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,Asia,2474.0747,871.6042,2970.2947,3590.9797,2051.5847,653.24274,943.444,11846.253,6013.6035,5028.1323,2031.1774,7862.719,1501.3259,4803.071,7197.464,6334.4883,6056.76,1566.5052,8931.254,5572.395,3744.167,3359.612,16919.764,6018.4883,3364.975,3254.7505,2938.942,4687.278,4338.441,3247.4036,5611.6646,4832.8555,2107.9985,1994.6366,2233.6865,5010.113,5803.8877,1480.3796,1309.2334,1933.6249,1257.4137,1162.9343,1597.1201,1463.1075,123.68938
11,Australia,,267.91595,263.70532,71.50714,0.0,0.6334853,6.320142,3.160071,0.0,12.591845,35.19474,2.362329,1104.2921,30072.256,35274.92,17780.168,3492.962,2.1727023,81.57871,67.53403,11.305099,28.81836,17.632101,26.34651,21.405205,21.911852,50.183144,27.939354,96.0096,168.7557,182.41382,686.45514,70.39381,38.68156,224.9593,36.33465,3.3890312,207.98007,2.4019957,64.99543,11.410183,110.79008,944.3715,15.647272,15.647272
12,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.1348,0.0,373.190035,746.38007,0.0,5.469772,10.939544,6.2411017,0.0,0.0,0.0,0.0,0.0,0.0,2.358618,1.572412,0.786206,0.0,3.751067,1.8755335,0.0,0.0,0.0,0.1454201,0.0,0.0
13,Azerbaijan,,,,,,,,,,,,,,,,21025.854,10981.672999999999,937.492,8705.401,113.16497,40.218105,150.89130333333335,261.5645016666667,372.2377,319.33588100000003,266.434062,213.532243,160.63042399999998,107.72860499999996,54.826786,757.8052,497.49844,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168,237.19168
14,Bahamas,,,,,,,,,0.0,0.0,0.0,301.437685,602.87537,401.91691333333335,200.95845666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.3882666666667,1748.7765333333334,2623.1648,431.26373,1194.165615,1957.0675,826.8859,1433.1941000000002,2039.5023,2645.8105,0.0,259.29575,983.974425,1708.6531,0.0,0.0,1846.43675,3692.8735,3692.8735,3692.8735,3692.8735,3692.8735,3692.8735
15,Bangladesh,11915.975,2364.348,347.80508,29837.121,32073.812,2429.4724,3178.0242,29555.104,54118.992,5056.6445,1927.8723,16869.893,76.83867,14653.337,911.74146,14510.074,4960.932,3854.1968,12275.22,482.9244,2188.0361,554.9839,1207.03,428.78622,26579.799,841.73175,161.555,15908.736,437.41177,3048.4324,619.7688,1113.5536,3687.9236,1026.6653,2055.4514,2580.849,1942.3809,7086.929,8.553068,4763.32,4807.207,926.29834,4790.101,1879.1193,1879.1193
16,Barbados,1974.5093,1490.59859925,1006.6878985,522.7771977499999,38.866497,55.55002133333333,72.23354566666666,88.91707,77.80243625,66.6878025,55.573168749999994,44.458535,33.34390125,22.2292675,11.11463375,0.0,107.22314285714286,214.44628571428572,321.66942857142857,428.89257142857144,536.1157142857143,643.3388571428571,750.562,539.14582,327.72964,218.60921946666667,109.48879893333333,0.3683784,303.58805226666664,606.8077261333333,910.0274,780.0234857142857,650.0195714285715,520.0156571428571,390.01174285714285,260.0078285714286,130.0039142857143,0.0,293.381325,586.76265,880.143975,1173.5253,618.500464,63.475628,63.475628
17,Belarus,,,,,,,,,,,,,,381.6617,254.4411333333333,127.22056666666666,0.0,205.65477,112.528323,19.401876,0.0,3.0718231666666664,6.143646333333333,9.2154695,12.287292666666666,15.359115833333332,18.430939,0.0,0.26821394,0.53642788,0.80464182,1.07285576,1.3410697,116.85928,324.95193,390.16728666666666,455.3826433333333,520.598,515.6993,413.4438146,311.1883292,208.9328438,106.6773584,4.421873,4.421873
18,Belgium,,,,10.439336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9738717,1.3407246,7.9245553,5.741067766666667,3.5575802333333337,1.3740927,8.851528,13.626330666666668,18.401133333333334,23.175936,0.0,0.99838555,1.9967711,0.0,0.018772824,0.0,0.0,6.343108,0.648062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0152,0.0,25.67142,25.67142
19,Belize,,,,,,,,,,,0.0,255.43789999999998,510.87579999999997,766.3136999999999,1021.7515999999999,1277.1895,9743.629,18210.0685,26676.508,26350.899,26025.29,8060.973,6045.72975,4030.4865,2015.24325,0.0,3364.9415,6729.883,15702.336,7851.168,0.0,1111.4692,2222.9384,3334.4076,4445.8768,5557.346,2819.0142,5912.392400000001,9005.7706,12099.1488,15192.527,28834.4035,42476.28,42476.28,42476.28
20,Benin,,,14305.481,16765.084,16290.437,26615.285,18323.038133333335,10030.791266666667,1738.5444,1159.0295999999998,579.5147999999999,0.0,191.3315233333333,382.6630466666666,573.99457,2034.2306,2397.33,798.4937,6378.9272,846.55206,756.46544875,666.3788374999999,576.29222625,486.20561499999997,396.11900374999993,306.03239249999996,215.94578124999995,125.85917,1776.6294,1313.2386,8797.639,60.042862,549.2263,344.31012,303.0323995714286,261.7546791428571,220.47695871428573,179.1992382857143,137.92151785714287,96.64379742857146,55.366077,275.835,546.6992,546.6992,546.6992
